country,director,genre,imdb_rating,title,year
Бразилия,Маркус Балдини,драма,6.2,Бруна Сурфистинья,2011
СССР,Николай Малецкий,драма,5.6,"Будем ждать, возвращайся",
Германия,Тиль Швайгер,драма / мелодрама / комедия,7.1,Босиком по мостовой,2005
Австралия США,Джордж Миллер,семейный комедийный,5.8,Бэйб: Поросёнок в городе,1998
США,Антуан Фукуа,"боевик, драма, криминальный фильм",6.7,Бруклинские полицейские,2009
Великобритания,Радха Бхарадвадж,драма / мелодрама,5.9,Бэзил,1998
Индия,К. П. Сувиран,драматический фильм,8.2,Бьяри,2011
СССР,Баадур Цуладзе,комедия,6.3,Вальс на Мтацминде,1975
Венгрия,"Петер Бачо, Тамаш Тольмар",драматический фильм и комедийный фильм,6.8,Вальс на банановой кожуре,1987
Италия,Сальваторе Майра,драма,7.0,Вальс,2007
США,Шон Секстон Каннингем,комедия,4.9,Весенние каникулы,1983
СССР,Михаил Кауфман,документальный фильм,7.6,Весной,1929
США,Ричард Торп,музыкальный фильм биография драма,6.5,Великий Карузо,1951
СССР,"Иосиф Хейфиц, Александр Зархи",драма,,Ветер в лицо,1930
нацистская Германия,Файт Харлан,драматический фильм,6.9,Великий король,1942
Гонконг,Ло Чилёна,история с привидениями,6.2,Внутренние чувства,
Норвегия,Торун Лиан,"драма, мелодрама",5.5,Виктория: История любви,2013
США,Майк Фиггис,драматический фильм и криминальный фильм,6.5,Внутреннее расследование,1990
США,Роберт Маллиган,драма,6.1,Внутренний мир Дэйзи Кловер,1965
Великобритания,Уильям Поль,комедия,5.1,Возвращение мужа,1896
Франция США Великобритания,Жауме Кольет-Серра,детективный триллер,6.9,Воздушный маршал,2014
Великобритания,Кен Эннакин,комедия,7.0,Воздушные приключения,1965
СССР,Юрий Степчук,мелодрама,,Воздушные пешеходы,1979
СССР,Давид Рондели,"киноповесть, молодёжный",8.4,Воздушный мост,1974
США,Кен Куопис,драма семейный,6.5,Все любят китов,2012
Финляндия,Тапио Суоминен,драма,6.8,"Вот и мы, жизнь!",1980
СССР,Александр Игишев,детский фильм,6.3,Вот и лето прошло…,1972
США,Брайан Брайтил,триллер драма,4.2,Все люди лгут,2013
США,Фил Джоану,драма,7.1,Второй шанс,2006
Дания,Сюзанна Бир,триллер драма,6.8,Второй шанс,2014
Япония,Кэйсукэ Киносита,"фильм-драма, комедия",6.5,Гавань в цвету,1943
Финляндия Франция Германия,Аки Каурисмяки,драма / комедия,7.2,Гавр,2011
СССР,Вячеслав Бровкин,телеспектакль,,Гендель и гангстеры,1967
США,Кристофер Мюнх,драма,5.5,Гарри + Макс,2004
Великобритания,Уго Фрегонезе,приключенческий фильм и драматический фильм,6.2,Гарри Блэк и Тигр,1958
Россия,Роман Качанов,комедийный фильм,5.8,Гена Бетон,2013
США,Эмилио Инсолера,супергеройский фильм и боевик,7.4,Ген жестов: Первые глухие супергерои,2017
Германия Люксембург,Ангела Кристлиб,Документальный фильм,6.4,Голая опера,2013
Италия Испания Мексика,Умберто Ленци,фильм ужасов,5.6,Город зомби,1980
США,Том Льюис,фильм ужасов,2.4,Город зла,2005
США,Луис Мандоки,драма,5.7,Глаза ангела,2001
Великобритания Германия США Испания,Фрэнк Э. Флауэрс,криминальный фильм драма,5.7,Гавань,2004
Великобритания Италия,Дэвид Грин,приключенческие фильмы драма,6.9,Граф Монте-Кристо,1975
Франция Италия Германия,Жозе Дайан,"телесериал-экранизация романа, приключенческий телесериал, исторический телесериал и телесериал о любви",7.8,Граф Монте-Кристо,1998
Франция Германия Италия,Дени де Ла Пательер,экранизация исторический фильм приключенческий фильм драма мелодрама,7.6,Граф Монте-Кристо,1979
СССР,Карен Шахназаров,"трагифарс, фантастика, фантасмагория, мистика, триллер",7.4,Город Зеро,1988
СССР,Сергей Михайлович Эйзенштейн Григорий Васильевич Александров,драматический фильм,,Да здравствует Мексика!,1932
США,Дрю Пирс,"комедийный фильм, драматический фильм и фильм-триллер",7.2,Да здравствует король,2014
Великобритания,Бейзил Дин,драма,6.1,Двадцать один день,1940
Франция,Люсьен Нонге Фернан Зекка Альбер Капеллани,исторический фильм,5.0,Дело Дрейфуса,1908
США Великобритания,Дон Бойд,драма,5.2,Двадцать один год,1991
США,Джордж Сидни […],романтическая комедия и музыкальный фильм […],6.3,Да здравствует Лас-Вегас!,2007
СССР,Ион Мижа,музыкальный фильм,,Днестровские мелодии,
Германия,Вольфганг Беккер,Трагикомедия,7.7,"Гуд бай, Ленин!",2003
Германия,Марко Кройцпайнтнер,драма,7.3,Дело Коллини,2019
США,Золтан Корда,драма,6.6,Дело Макомбера,1947
Италия,Франческо Рози,драма фильм-биография,7.6,Дело Маттеи,1972
США,Арлин Сэнфорд,комедия приключение семейный,6.3,"Держись, Чарли!: Это Рождество!",2011
США Франция,Боаз Якин,Криминальная драма,7.5,Дерзкий,1994
Россия,Руслан Бальтцер,комедийный фильм,2.9,Дерзкие дни,2007
Италия,Нанни Лой,Комедия,7.0,Дерзкий налёт неизвестных злоумышленников,1959
Индия,Срину Вайтла,"комедийный боевик, масала и боевик",7.4,Дерзкий,2011
Франция,Клод Миллер,мелодрама драма,6.9,Дерзкая девчонка,1985
Российская империя,Владимир Гардин,драма,,Дочь улицы,1916
США,Квентин Тарантино,криминальная драма,7.5,Джеки Браун,1997
США Чили Франция,Пабло Ларраин,драма биография,6.7,Джеки,2016
Белоруссия,Денис Скворцов,Военная драма,6.5,Днепровский рубеж,2009
США,Гарри Маршалл,комедия история взросления,6.4,Дневники принцессы,2001
США,Роб Коэн,"фильм-катастрофа, боевик, триллер",5.9,Дневной свет,1996
СССР,Игорь Таланкин,биографическая драма,7.3,Дневные звёзды,1966
СССР,Инесса Селезнёва,мелодрама,7.3,Дневной поезд,1976
США,Сэм Рэйми,боевик приключения научное фэнтези с элементами ужасов супергероика,6.9,Доктор Стрэндж: В мультивселенной безумия,2022
США Германия,Роберт Олтмен,комедия / мелодрама / драма,4.7,Доктор Ти и его женщины,2000
Россия,Олег Агейчев,фэнтези драма комедия,6.1,Доминика,2017
Дания Франция Италия Бельгия Нидерланды,Брайан Де Пальма,криминальный фильм триллер,4.5,Домино,2019
Великобритания,Майкл Андерсон,фильм ужасов триллер,5.4,Доминик,1979
США,Тони Скотт,боевик криминальный фильм фильм-биография драма триллер,5.9,До́мино,2005
США,Роберт М. Янг,драма,7.0,Доминик и Юджин,1988
СССР,Василий Левин Николай Винграновский,военная драма,5.1,Дочь Стратиона,1964
США,Билли Уайлдер,драма биография,7.1,Дух Сент-Луиса,1957
Италия,Карло Лидзани,драма,6.2,Дорогой Горбачёв,1988
Польша,Михал Вашиньский,комедия,6.4,Его сиятельство шофёр,1935
Франция,Патрис Шеро,драма,6.9,Его брат,2002
США,Алан Холлеб,комедия,4.1,Дух студента,1985
США,Чарли Чаплин,комедия,6.1,Его новая работа,1915
США,Майкл Уиннер,боевик,6.0,Жажда смерти 2,1982
СССР,Григорий Рошаль,драма,6.6,Его превосходительство,1927
Польша,Михал Вашиньский,комедия,6.9,Его превосходительство субъект,1933
США,Чарльз Чаплин,комедия,5.9,Его новая профессия,1914
США,Майкл Уиннер,"детектив, боевик",5.8,Жажда смерти 3,1985
СССР,Юлий Карасик,киноповесть,5.9,Ждите писем,1960
СССР,Отар Коберидзе,"военный фильм, драма",5.7,Ждите связного,1979
Мексика,Луис Бунюэль,драма,8.2,Забытые,1950
США,Джеймс Кич,боевик военный детектив,5.9,Забытые,
СССР Италия,Григорий Чухрай,драма,6.5,Жизнь прекрасна,1980
Аргентина,Лукресия Мартель,драматический фильм,6.7,Зама,2017
США,Дэвид де Врис,"Документальное кино, постапокалиптика",7.5,Жизнь после людей,
ГДР,Эгон Шлегель,детский фильм,6.6,Залп Ноева ковчега,1983
США,Джозеф Рубен,фантастика / триллер,5.8,Забытое,2004
СССР,Сергей Юткевич,музыкальная киноповесть,6.0,"Здравствуй, Москва!",1945
США,Анатоль Литвак,драма,7.6,Змеиная яма,1948
США Болгария,Дэвид Флорес,"ужасы, фантастика",2.8,Змеиная битва,2004
Индия,Нихил Адвани,мелодрама,5.2,"Здравствуй, любовь!",2007
СССР,Родион Нахапетов,Мелодрама,6.7,Зонтик для новобрачных,1986
США,Феликс Фейст,фантастика,6.6,Зонд,1965
США,М. Найт Шьямалан,"триллер, фантастика",6.8,Знаки,2002
США,Керстен Джонсон,Биографическая драма,,Зонтаг,
Канада,Джим Дрейк,комедия,4.5,Зона скорости,1989
США,Джон Ирвин,триллер криминальный фильм,6.1,Зона преступности,1997
Россия Германия Франция,Иван Твердовский,комедийная драма,6.4,Зоология,2016
США,Эрни Барбараш,"боевик, триллер",6.1,Игры киллеров,2011
СССР,Арво Ихо Лейда Лайус,драма,7.3,Игры для детей школьного возраста,1985
США,Норман Джуисон,мюзикл,7.3,Иисус Христос — суперзвезда,1973
Гонконг Япония,Дерек Эр Дуншэн,драма триллер,6.9,Инцидент в Синдзюку,2009
США,Грегор Джордан,драма криминальный фильм триллер,4.9,Информаторы,2008
США,Джордж Фостер Платт,драма фильм-биография,6.6,Избавление,1919
Франция Великобритания,Даниэль Томпсон,"комедия, мелодрама",6.1,История любви,2002
США,Энтони Манн,Фильм нуар,7.0,Инцидент на границе,1949
СССР,Себастьян Аларкон,притча,5.3,История одной бильярдной команды,1988
США,Уильям Кили,Криминальная мелодрама,7.2,Каждое утро я умираю,1939
США,Билл Ребейн,ужасы научная фантастика,3.9,Инцидент Альфа,1978
Италия США,Риккардо Фреда Марио Бава,фильм ужасов,5.9,"Калтики, бессмертный монстр",1959
Италия Франция,Джорджио Капитани,драма,6.4,Каллас и Онассис,2005
Франция Канада,Роджер Эвери,комедийный боевик,5.1,Киллер по вызову,2019
Великобритания,Питер Уоткинс,докудрама военный исторический,7.8,Каллоден,1964
США,Уильям Фридкин,триллер чёрная комедия,6.7,Киллер Джо,2011
СССР,Георгий Данелия,фантастика антиутопия трагикомедия сатира,7.9,Кин-дза-дза!,1986
Япония,Кон Итикава,фильм-драма,7.0,Комната насилия,1956
Германская империя,Йозеф Дельмонт,драма,5.7,Клуб самоубийц,1913
Иран,Аббас Киаростами,Драма,7.2,Копия верна,2010
Россия,Фёдор Попов,драма военный,5.5,Коридор бессмертия,2019
Норвегия Швеция,Эрик Густавсон,"фэнтези, драма, история",5.8,Коридоры времени ( в некоторых источниках - Мир Софии),1999
Франция Португалия,Анджей Жулавский,"драма, триллер",5.7,Космос,2015
Испания Россия Латвия Литва,Николас Алькала,"научная фантастика, драма",4.0,Космонавт,2013
США,Уоррен Битти,эпическая историческая военная драма фильм-биография,7.3,Красные,1981
Великобритания,Майкл Пауэлл Эмерих Прессбургер,драма мелодрама музыкальный фильм,8.1,Красные башмачки,1948
США,Дэвид ДеКото,"фильм ужасов, постапокалиптика",4.0,Крипозоиды,1987
Великобритания Германия,Кристофер Смит,фильм ужасов,5.6,Крип,2004
США,Чак Винсент,"комедия, эротика",4.2,Крутые девчата,1987
Гонконг Китайская Республика,Лун Цзянь,боевик драма,6.5,Кунг-фу Ммама,1973
СССР,Сергей Ашкенази,триллер детективный фильм,7.5,Криминальный талант,1988
США Швеция,Дэвид Сандберг,фантастика боевик комедия,,Кунг Фьюри 2,
Украина,Игорь Негреску,документальная драма,,Мельница,2003
СССР,Григорий Мелик-Авакян,сатирическая комедия,,Мелочь,1954
Россия,Джаник Файзиев Иван Шурховецкий,исторический военный биографический фэнтези,6.2,Легенда о Коловрате,2017
СССР,Валерий Лонской,драма,7.1,Летаргия,1983
Германия,Вильгельм Тиле,музыкальный фильм и драматический фильм,7.1,Личная секретарша,1931
США,Джон Туртурро,романтическая комедия мюзикл,6.2,Любовь и сигареты,2005
США,Дэниэл Йост,драма,6.4,Любовь & Секс и т.п.,1996
Италия,Марио Ланфранки (итал.) ( рус.,"фильм - опера, музыкальный фильм, драма, мелодрама",7.8,Мадам Баттерфляй,1956
Россия,Виктор Сергеев,"драма, мелодрама",6.2,"Любовь, предвестие печали…",1994
Япония,Хэйноскэ Госё,драма,6.6,Мать и одиннадцать детей,1966
Германия Россия,Александр Сокуров,драма,7.3,Мать и сын,1997
СССР ЗСФСР,Александр Литвинов,драма детектив,,На разных берегах,1926
Великобритания,Кен Рассел,"драма, музыкальный фильм",7.0,Малер,1974
США,Роджер Камбл,"мелодрама, комедия",5.2,Милашка,2002
Индия,Мехбуб Хан,драма / музыкальный / семейный,7.8,Мать Индия,1957
Польша,Ежи Кавалерович,драма,7.5,Мать Иоанна от ангелов,1961
Бутан,Нетен Чоклинг,боевик приключенческий фильм фильм-биография драма,7.0,Миларепа,2006
Франция,Жак Тати,комедия,7.7,Мой дядя,1958
СССР,Андрис Розенбергс,детский фильм,,Мой друг Сократик,1984
США,Фред Циннеман,драма,7.1,Мужчины,1950
США Германия,Джон Эйрс,фантастика / боевик,4.5,Монолит,1993
Канада,Манон Бриан,"приключенческий фильм, фильм-биография, драма",6.8,Мэрилин Белл,2001
Италия,Тинто Брасс Мауро Болоньини Луиджи Коменчини,комедийный фильм,6.3,Моя госпожа,1964
Россия,Ольга Зуева,криминал драма,2.8,На районе,2018
США,Стивен Фрирз,триллер драма,5.8,Мэри Райли,1996
Россия,Михаил Мамедов,драма исторический фильм военный,,"Неистовый, яростный, бешеный…",2011
США,Хесус Франко,комедия эротика,3.5,Мэри-Куки и тарантул-убийца,1998
США,Джон Паттерсон,биографическая драма,5.7,Мэрилин и я,1991
США,Даг МакГенри,комедия,5.5,На том свете,2001
"Россия, Беларусь",Елена Цыплакова,драма,6.9,На тебя уповаю,1992
США,Джеральд Майер,Фильм нуар,6.8,Наберите 1119,1950
США,Джад Тейлор ?!,драма мелодрама триллер,5.6,Нарушенные обеты,1987
Гонконг,Чон Чхан Хва,"боевик, драма",6.8,Нарушенная клятва,1977
Великобритания Франция США,Джулиус Берг,фильм ужасов,5.0,Не входи,2020
США,Рик Фридберг,"комедия, пародия, боевик",5.3,Неистребимый шпион,1996
США,Деррик Борте,"триллер, боевик",6.0,Неистовый,2020
США,Сет Гордон,комедия,6.9,Несносные боссы,2011
Индия,Ревати,драма,6.2,Не всё потеряно,2004
США,Тэйлор Хэкфорд,боевик приключения криминал,5.9,Несмотря ни на что,1984
Чехословакия,Отакар Вавра,"психологическая драма, экранизация",6.9,Ночной гость,1961
США Гонконг,Дэвид Джексон,"боевик, триллер",5.1,Ночной дозор,
США,Джей Роуч,"фильм-ограбление, комедия, криминал",,Одиннадцать друзей Оушена,2024
США,Барт Фрейндлих,мелодрама комедия,6.3,Нянька по вызову,2009
Россия,Алексей Пиманов,спортивный фильм и драматический фильм,5.2,Одиннадцать молчаливых мужчин,2022
США,Стивен Содерберг,Криминальный триллер комедия фильм-ограбление приключения,7.7,Одиннадцать друзей Оушена,2001
Япония,Масаки Кобаяси,фильм-драма,7.5,Окаменелость,1975
Российская империя,Александр Волков,драма,,Пляска смерти,1916
США,Джон Шлезингер,триллер,6.2,Око за око,1996
Россия,Станислав Мареев,комедия,4.8,"Особенности национальной подледной ловли, или Отрыв по полной",2007
Россия,Александр Рогожкин,комедия,6.4,Особенности национальной охоты в зимний период,2000
США,Лин Одинг,"ужасы, боевик, комедия",5.7,Офисный беспредел,2018
США,Майк Джадж,комедия криминальный фильм,7.6,Офисное пространство,1999
Индия,Санджай Лила Бхансали,драматический фильм и романтический фильм,7.1,Падмавати,2018
СССР,Георгий Натансон,"драма, экранизация",,Палата,1964
СССР,"Ефим Дзиган, Михаил Чиаурели",исторический фильм драма военный,6.1,Первый корнет Стрешнев,1928
США,Клинт Иствуд,"драма, военный, исторический",7.8,Письма с Иводзимы,2006
Португалия,Иво Феррейра,драматический фильм,6.7,Письма с войны,2016
США,Уильям Диксон,танцевальный фильм и немое кино,5.2,Пляска духа племени сиу,1894
США Германия Канада,Майк П Нельсон,фильм ужасов,5.5,Поворот не туда: Наследие,2021
США,Валерий Милев,Слэшер,4.1,Поворот не туда 6: Последний курорт,2014
Канада,Сидни Дж. Фьюри,военный фильм,5.2,Поле боя,2001
США,Эми Коппелман,драматический фильм,6.1,Полный рот воздуха,
Канада Германия,Атом Эгоян,"драма, триллер",7.5,Помнить,2015
США,Роджер Кристиан,фантастический боевик,2.5,Поле битвы: Земля,2000
СССР,Янис Стрейч,драма,6.7,Помнить или забыть,1981
США,Джеффри Хейли,драма,6.2,Последнее слово,2008
Италия Франция Великобритания,Fabrizio Bentivoglio Laura Morante Monica Bellucci Nicoletta Romanoff Silvio Muccino Gabriele Lavia,"романтический фильм, драматический фильм и комедийный фильм",6.4,Помни обо мне,2003
СССР,Григорий Никулин,военная драма,7.5,"Помни, Каспар…",1964
Канада,Майкл Ситер,подростковое кино комедия,5.4,Последние дни Сэйди на Земле,2016
Аргентина Испания,Гастон Дюпра Мариано Кон,драма комедия,7.5,Почётный гражданин,2015
Великобритания США Франция Швеция,Роуэн Жоффе,драма триллер,6.3,Прежде чем я усну,2014
США,Джин Квинтано,авантюрная комедия,5.8,Почему я?,1990
Германия Великобритания Ирландия,Энтони Хикокс,боевик приключения,5.0,Принц Вэлиант,1997
Чехословакия,Антонин Кахлик,"фильм-сказка, семейное кино, фэнтези",6.0,Принц Баяя,1971
Япония,Тому Утида,фильм-драма,6.9,Пятеро под землёй,1957
СССР,Игорь Шешуков,Драма,,Пространство для манёвра,1982
Канада США,Сюзанна Фогель,биографический фильм,7.8,Реальная история Уиннер,2024
Великобритания США,Ричард Кёртис,трагикомедия,7.6,Реальная любовь,2003
Великобритания,Альфред Хичкок,драма мелодрама триллер,6.1,Ринг,1927
Гонконг,Джо Чён,"боевик, комедия",6.2,Роза,1986
США,Марк Райделл,драма,6.9,Роза,1979
Россия Дания Швеция Великобритания,Мортен Арнфред,мелодрама / триллер,5.7,Русская певица,1993
СССР,"Владимир Бойков, Борис Небылицкий",хроникально-документальный фильм,,Служу Советскому Союзу,1968
Великобритания Германия,Сандра Голдбахер,драма,6.7,С тобой и без тебя,2001
США,Майкл С. Охеда,триллер ужасы,5.2,Русская невеста,2019
Словакия Франция Чехия,Мартин Шулик,"драматический фильм, комедийный фильм и ток-шоу",7.6,Сад,1995
Великобритания ФРГ,Дерек Джармен,драма,6.4,Сад,1990
СССР,Пётр Тодоровский,"драма, экранизация",7.0,Своя земля,1973
Франция,Франсис Леруа (основной) Франсуа Жуффа (репортажная съёмка),эротика / комедия / псевдодокументалистика,4.2,Секс и перестройка,1990
Франция,Жерар Куран,документальный,6.1,Синематон,
США Великобритания Словакия,Роб Коэн,"приключенческий фильм, фэнтези, драма",6.4,Сердце дракона,1996
США,Гас Ван Сент,драма,7.1,Слон,2003
СССР,Илья Фрэз,семейный фильм,6.4,Слон и верёвочка,1945
США,Мигель Артета,комедия,6.3,Совсем не бабник,2011
Великобритания,Кристофер Монгер,комедия,6.0,Совсем как женщина,1992
Турция,Йылмаз Эрдоган,драма,7.7,Сон бабочки,2013
Россия,Ольга Акатьева,триллер драма,4.0,Соври мне правду,2021
США,Джо Нуссбаум,семейный фэнтези,5.4,Совсем другая магия,
Великобритания,Дин Пакетт,фильм ужасов,,Сорока,
СССР,Гунар Пиесис,мелодрама,,Твой сын,1978
СССР,Лев Кулешов,"документальный, политпросвет, мультипликация, экспериментальный, немое кино",6.7,Сорок сердец,1931
Япония,Садао Яманака,"фильм-драма, комедия, дзидайгэки",7.1,Сосюн Котияма,1936
США,Хэл Роуч,комедия,6.9,Спросить отца,1919
США,Стив Рэш,Комедия,6.2,Спросите Синди,2001
США Швейцария Великобритания Франция Италия,Фред Хайнс,драма,6.0,Степной волк,1974
Франция ФРГ,Хесус Франко,фильм ужасов эротика,5.3,Суккуб,1968
Россия,Ким Дружинин,"приключения, боевик, псевдо-история",4.9,Танки,2018
США Израиль,Йосеф Сидар,драматический фильм,6.1,Стратегия Оппенгеймера,2016
Франция,Жан Деланнуа,исторический фильм биографический фильм драма мелодрама,6.4,Тайна Майерлинга,1949
США,Марвин Чомски,боевик,5.7,Танк,1984
США,Мик Джексон,"мелодрама, триллер, музыкальный фильм",6.4,Телохранитель,1992
Ирландия Великобритания США,Пэт О'Коннор,Саундтрек,6.3,Танцы во время Луназы,1998
СССР,Александр Файнциммер,драма / производственный / приключенческий,5.8,Танкер «Дербент»,1941
США Югославия,Божидар Николич ru sr,драма / мелодрама,5.4,Тёмная сторона солнца,1988
Россия Белоруссия,Александр Ефремов,"военный, мелодрама",,Танкист,2016
СССР,"Александр Бланк, Сергей Линков",приключенческий фильм,6.2,Тимур и его команда,
США,,Музыкальный фильм,6.9,Тихая ночь,1937
Индия,Пуджа Бхатт,"драма, триллер, эротика",3.1,Тёмная сторона желания 2,2012
Новая Зеландия,Джеф Мёрфи,фантастика драма,6.7,Тихая Земля,1985
Франция,Андрэ Калметт Шарль ле Баржи,драма,,Тоска,1909
Франция Гаити,Рауль Пек,драма,7.1,Тропический молох,
США,Спайк Ли,драма,6.6,Тропическая лихорадка,1991
Россия,Евгений Татарский,драма,5.6,Тюремный романс,1993
США,Роберт Борис,комедия,5.0,Тюремная биржа,1987
СССР,Николай Розанцев,,5.4,Убит при исполнении,1977
США,Глен Морган,ужасы / триллер / драма,6.1,Уиллард,2003
США,Дэн Милнер,ужасы,3.6,Фантом с глубины 10 000 лиг,1955
СССР Франция,Никита Михалков,притча,7.6,Урга — территория любви,1991
США,Роберт Земекис,комедийная драма,8.8,Форрест Гамп,1994
США,Джозеф Рубен,"триллер, драма",6.9,Форс-мажор,1998
США,Киони Ваксман,боевик,4.4,Хороший человек,2014
США ЮАР,Брюс Бересфорд,комедия,5.0,Хороший человек в Африке,1994
США Канада,Джон Ву,фантастика / боевик,6.3,Час расплаты,2003
Япония,Масаки Кобаяси,драма,7.2,Чёрная река,1957
Великобритания Франция,Лесли Мегахи,криминальный фильм драма исторический фильм,6.6,Час свиньи,1993
США,Джефф Блекнер,триллер фантастика,5.7,Чёрная река,2001
Чехословакия,Карел Стеклы,комедия,7.5,Швейк на фронте,1957
Италия,Ренато Польселли,фильм ужасов,5.3,Чудовище оперы,1964
СССР,Георгий Николаенко,военный драма,6.3,Шёл четвёртый год войны,1983
СССР,Вадим Зобин,"комедия, мелодрама, роуд-муви",6.6,Шофёр на один рейс,1981
"Франция, Италия",Августо Дженина,комедийный фильм,5.5,Шелест,1955
Израиль,Эял Халфон,драматический фильм,7.0,Эта прекрасная страна,2005
Великобритания США,Уилл Гейджер,"драма, мелодрама",7.1,Элвис и Анабелль,2007
США,"Грег Лански (1—3) Лоран Скай (4) Джулия Гранди, Лоран Скай (5, 6, 9) Илья Дромбелд, Лоран Скай (7) Дерек Дозер, Лоран Скай (8)",порнофильм,,Young Fantasies,
Канада,Терри Каннингем,фантастика,3.4,Экспедиция в преисподнюю,2005
США,"Грег Лански (1—7) Лоран Скай (8) Дерек Дозер, Илья Дромбелд, Лоран Скай (9, 10) Дерек Дозер, Джулия Гранди (11) Дерек Дозер, Джулия Гранди, Лоран Скай (12)",порнофильм,,Young & Beautiful,
СССР,Дзидра Ритенберга,молодёжная драма,7.1,Эта опасная дверь на балкон,1976
Франция,Ги Жак,комедия,5.4,Ze фильм,2005
